index,bitmask,num_features,mean_accuracy,mean_time
358,000000101100110,5,0.8743622452,0.1294647658
359,000000101100111,6,0.8794642836,0.1891457897
360,000000101101000,4,0.860650517,0.05612086435
361,000000101101001,5,0.858577814,0.1283921588
362,000000101101010,5,0.8624043427,0.1321259181
363,000000101101011,6,0.8726084195,0.1893135337
364,000000101101100,5,0.859693883,0.05659070797
365,000000101101101,6,0.8509247527,0.1259215819
366,000000101101110,6,0.8738839291,0.2146290489
367,000000101101111,7,0.8788265288,0.2372363065
368,000000101110000,4,0.8697385229,0.0771582555
369,000000101110001,5,0.8604910783,0.138956212
370,000000101110010,5,0.8627232183,0.1518430435
371,000000101110011,6,0.8732461743,0.1842964182
372,000000101110100,5,0.8522002641,0.06032732013
373,000000101110101,6,0.8574617431,0.1270440849
374,000000101110110,6,0.8730867356,0.1261988163
375,000000101110111,7,0.8743622452,0.3752693105
376,000000101111000,5,0.8624043409,0.03762291337
377,000000101111001,6,0.8529974576,0.1735447024
378,000000101111010,6,0.8617665879,0.1455551665
379,000000101111011,7,0.8687818907,0.2567275735
380,000000101111100,6,0.8612882718,0.08929765515
381,000000101111101,7,0.839126287,0.1850047526
382,000000101111110,7,0.8692602068,0.197270554
383,000000101111111,8,0.8761160709,0.361636328
384,000000110000000,2,0.6758609638,0.1365077246
385,000000110000001,3,0.7193877604,0.3239117367
386,000000110000010,3,0.6618303545,0.3241636408
387,000000110000011,4,0.7236926127,0.3809511601
388,000000110000100,3,0.6594387665,0.2075100238
389,000000110000101,4,0.7134885322,0.3439333485
390,000000110000110,4,0.6851084195,0.4539973587
391,000000110000111,5,0.7303890381,0.3120564921
392,000000110001000,3,0.6398278028,0.1772056501
393,000000110001001,4,0.7083864864,0.2921071043
394,000000110001010,4,0.6702806074,0.4182552928
395,000000110001011,5,0.7397959232,0.3207756397
396,000000110001100,4,0.6600765213,0.1682711283
397,000000110001101,5,0.7195472047,0.2490750526
398,000000110001110,5,0.6809630152,0.2500744518
399,000000110001111,6,0.7343750075,0.4216234628
400,000000110010000,3,0.7528698966,0.2546915594
401,000000110010001,4,0.7710459083,0.2892103186
402,000000110010010,4,0.7439413294,0.2937382311
403,000000110010011,5,0.7726402972,0.4249149887
404,000000110010100,4,0.749521682,0.1628796896
405,000000110010101,5,0.7681760155,0.2598475618
406,000000110010110,5,0.7472895421,0.2697182815
407,000000110010111,6,0.7860331535,0.2978607621
408,000000110011000,4,0.7533482127,0.3371274713
409,000000110011001,5,0.765784435,0.2601201711
410,000000110011010,5,0.7456951551,0.2809040383
411,000000110011011,6,0.7809311114,0.298525684
412,000000110011100,5,0.7423469424,0.1966773146
413,000000110011101,6,0.7673788182,0.3548423664
414,000000110011110,6,0.7458545938,0.2534924308
415,000000110011111,7,0.7839604486,0.4002964315
416,000000110100000,3,0.725127561,0.1786943083
417,000000110100001,4,0.7592474446,0.27706494
418,000000110100010,4,0.7308673561,0.3496611123
419,000000110100011,5,0.7622767836,0.4388457355
420,000000110100100,4,0.7294324078,0.1492636753
421,000000110100101,5,0.7735969312,0.2225229733
422,000000110100110,5,0.723692609,0.2249247828
423,000000110100111,6,0.7704081535,0.324332518
424,000000110101000,4,0.7287946492,0.2869643983
425,000000110101001,5,0.761160709,0.2206951692
426,000000110101010,5,0.7383609731,0.2264977812
427,000000110101011,6,0.7558992319,0.2741579614
428,000000110101100,5,0.7248086799,0.1846836885
429,000000110101101,6,0.7673788238,0.2905424992
430,000000110101110,6,0.7297512833,0.1855685669
431,000000110101111,7,0.7557397932,0.3309322055
432,000000110110000,4,0.7543048449,0.1829892306
433,000000110110001,5,0.773278052,0.3403581395
434,000000110110010,5,0.7560586687,0.2435520801
435,000000110110011,6,0.7885841727,0.2746950602
436,000000110110100,5,0.7554209158,0.1581869659
437,000000110110101,6,0.7740752473,0.2053201101
438,000000110110110,6,0.7493622452,0.214991346
439,000000110110111,7,0.7718431037,0.4782235143
440,000000110111000,5,0.7490433678,0.1747070698
441,000000110111001,6,0.7718431037,0.2062772508
442,000000110111010,6,0.7495216839,0.2176730991
443,000000110111011,7,0.7710459102,0.3788437713
444,000000110111100,6,0.7568558622,0.2756674746
445,000000110111101,7,0.7549425997,0.3127259742
446,000000110111110,7,0.7463329099,0.2775928883
447,000000110111111,8,0.7756696343,0.3416389814
448,000000111000000,3,0.8509247545,0.2210653634
449,000000111000001,4,0.8365752641,0.3542991122
450,000000111000010,4,0.858577814,0.2752026031
451,000000111000011,5,0.8617665879,0.2845088588
452,000000111000100,4,0.8662308715,0.1403291102
453,000000111000101,5,0.8477359787,0.2157834677
454,000000111000110,5,0.8619260266,0.2540148245
455,000000111000111,6,0.8695790842,0.3432922177
456,000000111001000,4,0.8582589347,0.1493393525
457,000000111001001,5,0.846938787,0.2121840124
458,000000111001010,5,0.8608099539,0.2085681609
459,000000111001011,6,0.8624043427,0.2577288742
